Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      6.75     0.00    10226     0.00     0.00  __gnu_cxx::__normal_iterator<ns3::Ptr<ns3::NetDevice> const*, std::vector<ns3::Ptr<ns3::NetDevice>, std::allocator<ns3::Ptr<ns3::NetDevice> > > >::__normal_iterator(ns3::Ptr<ns3::NetDevice> const* const&)
  0.00      6.75     0.00     8911     0.00     0.00  void std::_Destroy<ns3::Ptr<ns3::Node> >(ns3::Ptr<ns3::Node>*)
  0.00      6.75     0.00     7763     0.00     0.00  ns3::Time::PeekResolution()
  0.00      6.75     0.00     7763     0.00     0.00  ns3::Time::PeekInformation(ns3::Time::Unit)
  0.00      6.75     0.00     7726     0.00     0.00  ns3::TimeValue::~TimeValue()
  0.00      6.75     0.00     6556     0.00     0.00  ns3::TimeValue::~TimeValue()
  0.00      6.75     0.00     6430     0.00     0.00  ns3::Ptr<ns3::AttributeChecker const>::~Ptr()
  0.00      6.75     0.00     6430     0.00     0.00  ns3::Ptr<ns3::AttributeValue>::~Ptr()
  0.00      6.75     0.00     6126     0.00     0.00  __gnu_cxx::__normal_iterator<ns3::Ptr<ns3::Application> const*, std::vector<ns3::Ptr<ns3::Application>, std::allocator<ns3::Ptr<ns3::Application> > > >::base() const
  0.00      6.75     0.00     6102     0.00     0.00  ns3::AttributeConstructionList::~AttributeConstructionList()
  0.00      6.75     0.00     6102     0.00     0.00  ns3::TypeId::~TypeId()
  0.00      6.75     0.00     6044     0.00     0.00  ns3::Ptr<ns3::Application>::~Ptr()
  0.00      6.75     0.00     6044     0.00     0.00  void std::_Destroy<ns3::Ptr<ns3::Application> >(ns3::Ptr<ns3::Application>*)
  0.00      6.75     0.00     5420     0.00     0.00  ns3::int64x64_t::int64x64_t(ns3::int64x64_t const&)
  0.00      6.75     0.00     5420     0.00     0.00  ns3::int64x64_t::int64x64_t(double)
  0.00      6.75     0.00     5420     0.00     0.00  ns3::Time::FromDouble(double, ns3::Time::Unit)
  0.00      6.75     0.00     5420     0.00     0.00  ns3::Time::From(ns3::int64x64_t const&, ns3::Time::Unit)
  0.00      6.75     0.00     5420     0.00     0.00  ns3::Time::Time(ns3::int64x64_t const&)
  0.00      6.75     0.00     5420     0.00     0.00  ns3::operator*=(ns3::int64x64_t&, ns3::int64x64_t const&)
  0.00      6.75     0.00     5420     0.00     0.00  ns3::int64x64_t::GetHigh() const
  0.00      6.75     0.00     5414     0.00     0.00  void std::_Destroy_aux<false>::__destroy<ns3::Ptr<ns3::Node>*>(ns3::Ptr<ns3::Node>*, ns3::Ptr<ns3::Node>*)
  0.00      6.75     0.00     5414     0.00     0.00  void std::_Destroy<ns3::Ptr<ns3::Node>*>(ns3::Ptr<ns3::Node>*, ns3::Ptr<ns3::Node>*)
  0.00      6.75     0.00     4533     0.00     0.00  ns3::DataRateValue::~DataRateValue()
  0.00      6.75     0.00     4165     0.00     0.00  std::_Vector_base<ns3::Ptr<ns3::Node>, std::allocator<ns3::Ptr<ns3::Node> > >::_M_get_Tp_allocator()
  0.00      6.75     0.00     3968     0.00     0.00  void std::_Destroy_aux<false>::__destroy<ns3::Ptr<ns3::NetDevice>*>(ns3::Ptr<ns3::NetDevice>*, ns3::Ptr<ns3::NetDevice>*)
  0.00      6.75     0.00     3968     0.00     0.00  void std::_Destroy<ns3::Ptr<ns3::NetDevice>*>(ns3::Ptr<ns3::NetDevice>*, ns3::Ptr<ns3::NetDevice>*)
  0.00      6.75     0.00     3652     0.00     0.04  __gnu_cxx::new_allocator<ns3::Ptr<ns3::Node> >::allocate(unsigned long, void const*)
  0.00      6.75     0.00     3640     0.00     0.00  __gnu_cxx::new_allocator<ns3::Ptr<ns3::Node> >::deallocate(ns3::Ptr<ns3::Node>*, unsigned long)
  0.00      6.75     0.00     3363     0.00     0.00  ns3::DataRateValue::~DataRateValue()
  0.00      6.75     0.00     3215     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<ns3::AttributeConstructionList::Item> >::deallocate(std::_List_node<ns3::AttributeConstructionList::Item>*, unsigned long)
